id,total_count,hourly_count,time,conf,thresh,number_of_snaps,store_uid_id,date
,0,0,19,25,45,6,70164415,2021-02-27
,0,0,20,25,45,6,70164415,2021-02-27
,32,0,23,25,45,6,70164415,2021-02-27
,0,0,9,25,45,6,70164425,2021-02-27
,0,0,10,25,45,6,70164425,2021-02-27
,0,0,11,25,45,6,70164425,2021-02-27
,0,0,12,25,45,6,70164425,2021-02-27
,0,0,13,25,45,6,70164425,2021-02-27
,0,0,14,25,45,6,70164425,2021-02-27
,0,0,15,25,45,6,70164425,2021-02-27
,0,0,16,25,45,6,70164425,2021-02-27
,0,0,17,25,45,6,70164425,2021-02-27
,0,0,18,25,45,6,70164425,2021-02-27
,0,0,19,25,45,6,70164425,2021-02-27
,0,0,20,25,45,6,70164425,2021-02-27
,33,0,23,25,45,6,70164425,2021-02-27
,0,0,9,25,45,6,70144979,2021-02-27
,0,0,10,25,45,6,70144979,2021-02-27
,0,0,11,25,45,6,70144979,2021-02-27
,0,0,12,25,45,6,70144979,2021-02-27
,0,0,13,25,45,6,70144979,2021-02-27
,0,0,14,25,45,6,70144979,2021-02-27
,0,0,15,25,45,6,70144979,2021-02-27
,0,0,16,25,45,6,70144979,2021-02-27
,0,0,17,25,45,6,70144979,2021-02-27
,0,0,18,25,45,6,70144979,2021-02-27
,0,0,19,25,45,6,70144979,2021-02-27
,0,0,20,25,45,6,70144979,2021-02-27
,11,0,23,25,45,6,70144979,2021-02-27
,0,0,9,25,45,6,70144343,2021-02-27
,0,0,10,25,45,6,70144343,2021-02-27
,0,0,11,25,45,6,70144343,2021-02-27
,0,0,12,25,45,6,70144343,2021-02-27
,0,0,13,25,45,6,70144343,2021-02-27
,0,0,14,25,45,6,70144343,2021-02-27
,0,0,15,25,45,6,70144343,2021-02-27
,0,0,16,25,45,6,70144343,2021-02-27
,0,0,17,25,45,6,70144343,2021-02-27
,0,0,18,25,45,6,70144343,2021-02-27
,0,0,19,25,45,6,70144343,2021-02-27
,0,0,20,25,45,6,70144343,2021-02-27
,13,0,23,25,45,6,70144343,2021-02-27
,0,0,9,25,45,6,70144709,2021-02-27
,0,0,10,25,45,6,70144709,2021-02-27
,0,0,11,25,45,6,70144709,2021-02-27
,0,0,12,25,45,6,70144709,2021-02-27
,0,0,13,25,45,6,70144709,2021-02-27
,0,0,14,25,45,6,70144709,2021-02-27
,0,0,15,25,45,6,70144709,2021-02-27
,0,0,16,25,45,6,70144709,2021-02-27
,0,0,17,25,45,6,70144709,2021-02-27
,0,0,18,25,45,6,70144709,2021-02-27
,0,0,19,25,45,6,70144709,2021-02-27
,0,0,20,25,45,6,70144709,2021-02-27
,19,0,23,25,45,6,70144709,2021-02-27
,0,0,23,25,45,6,70145668,2021-02-27
,0,0,9,25,45,6,70144890,2021-02-27
,0,0,10,25,45,6,70144890,2021-02-27
,0,0,11,25,45,6,70144890,2021-02-27
,0,0,12,25,45,6,70144890,2021-02-27
,0,0,13,25,45,6,70144890,2021-02-27
,0,0,14,25,45,6,70144890,2021-02-27
,0,0,15,25,45,6,70144890,2021-02-27
,0,0,16,25,45,6,70144890,2021-02-27
,0,0,17,25,45,6,70144890,2021-02-27
,0,0,18,25,45,6,70144890,2021-02-27
,0,0,19,25,45,6,70144890,2021-02-27
,0,0,20,25,45,6,70144890,2021-02-27
,12,0,23,25,45,6,70144890,2021-02-27
,0,0,9,25,45,6,70144769,2021-02-27
,0,0,10,25,45,6,70144769,2021-02-27
,0,0,11,25,45,6,70144769,2021-02-27
,0,0,12,25,45,6,70144769,2021-02-27
,0,0,13,25,45,6,70144769,2021-02-27
,0,0,14,25,45,6,70144769,2021-02-27
,0,0,15,25,45,6,70144769,2021-02-27
,0,0,16,25,45,6,70144769,2021-02-27
,0,0,17,25,45,6,70144769,2021-02-27
,0,0,18,25,45,6,70144769,2021-02-27
,0,0,19,25,45,6,70144769,2021-02-27
,0,0,20,25,45,6,70144769,2021-02-27
,24,0,23,25,45,6,70144769,2021-02-27
,0,0,9,25,45,6,70144859,2021-02-27
,0,0,10,25,45,6,70144859,2021-02-27
,0,0,11,25,45,6,70144859,2021-02-27
,0,0,12,25,45,6,70144859,2021-02-27
,0,0,13,25,45,6,70144859,2021-02-27
,0,0,14,25,45,6,70144859,2021-02-27
,0,0,15,25,45,6,70144859,2021-02-27
,0,0,16,25,45,6,70144859,2021-02-27
,0,0,17,25,45,6,70144859,2021-02-27
,0,0,18,25,45,6,70144859,2021-02-27
,0,0,19,25,45,6,70144859,2021-02-27
,0,0,20,25,45,6,70144859,2021-02-27
,19,0,23,25,45,6,70144859,2021-02-27
,0,0,23,25,45,6,70144809,2021-02-27
,0,0,9,25,45,6,70144945,2021-02-27
,0,0,10,25,45,6,70144945,2021-02-27
,0,0,11,25,45,6,70144945,2021-02-27
,0,0,12,25,45,6,70144945,2021-02-27
,0,0,13,25,45,6,70144945,2021-02-27
,0,0,14,25,45,6,70144945,2021-02-27
,0,0,15,25,45,6,70144945,2021-02-27
,0,0,16,25,45,6,70144945,2021-02-27
,0,0,17,25,45,6,70144945,2021-02-27
,0,0,18,25,45,6,70144945,2021-02-27
,0,0,19,25,45,6,70144945,2021-02-27
,0,0,20,25,45,6,70144945,2021-02-27
,55,0,23,25,45,6,70144945,2021-02-27
,0,0,9,25,45,6,70144896,2021-02-27
,0,0,10,25,45,6,70144896,2021-02-27
,0,0,11,25,45,6,70144896,2021-02-27
,0,0,12,25,45,6,70144896,2021-02-27
,0,0,13,25,45,6,70144896,2021-02-27
,0,0,14,25,45,6,70144896,2021-02-27
,0,0,15,25,45,6,70144896,2021-02-27
,0,0,16,25,45,6,70144896,2021-02-27
,0,0,17,25,45,6,70144896,2021-02-27
,0,0,18,25,45,6,70144896,2021-02-27
,0,0,19,25,45,6,70144896,2021-02-27
,0,0,20,25,45,6,70144896,2021-02-27
,5,0,23,25,45,6,70144896,2021-02-27
,0,0,9,25,45,6,70144852,2021-02-27
,0,0,10,25,45,6,70144852,2021-02-27
,0,0,11,25,45,6,70144852,2021-02-27
,0,0,12,25,45,6,70144852,2021-02-27
,0,0,13,25,45,6,70144852,2021-02-27
,0,0,14,25,45,6,70144852,2021-02-27
,0,0,15,25,45,6,70144852,2021-02-27
,0,0,16,25,45,6,70144852,2021-02-27
,0,0,17,25,45,6,70144852,2021-02-27
,0,0,18,25,45,6,70144852,2021-02-27
,0,0,19,25,45,6,70144852,2021-02-27
,0,0,20,25,45,6,70144852,2021-02-27
,0,0,21,25,45,6,70144852,2021-02-27
,0,0,22,25,45,6,70144852,2021-02-27
,54,0,23,25,45,6,70144852,2021-02-27
,0,0,9,25,45,6,70144855,2021-02-27
,0,0,10,25,45,6,70144855,2021-02-27
,0,0,11,25,45,6,70144855,2021-02-27
,0,0,12,25,45,6,70144855,2021-02-27
,0,0,13,25,45,6,70144855,2021-02-27
,0,0,14,25,45,6,70144855,2021-02-27
,0,0,15,25,45,6,70144855,2021-02-27
,0,0,16,25,45,6,70144855,2021-02-27
,0,0,17,25,45,6,70144855,2021-02-27
,0,0,18,25,45,6,70144855,2021-02-27
,0,0,19,25,45,6,70144855,2021-02-27
,0,0,20,25,45,6,70144855,2021-02-27
,41,0,23,25,45,6,70144855,2021-02-27
,0,0,9,25,45,6,70164780,2021-02-27
,0,0,10,25,45,6,70164780,2021-02-27
,0,0,11,25,45,6,70164780,2021-02-27
,0,0,12,25,45,6,70164780,2021-02-27
,0,0,13,25,45,6,70164780,2021-02-27
,0,0,14,25,45,6,70164780,2021-02-27
,0,0,15,25,45,6,70164780,2021-02-27
,0,0,16,25,45,6,70164780,2021-02-27
,0,0,17,25,45,6,70164780,2021-02-27
,0,0,18,25,45,6,70164780,2021-02-27
,0,0,19,25,45,6,70164780,2021-02-27
,0,0,20,25,45,6,70164780,2021-02-27
,12,0,23,25,45,6,70164780,2021-02-27
,0,0,9,25,45,6,70153479,2021-02-27
,0,0,10,25,45,6,70153479,2021-02-27
,0,0,11,25,45,6,70153479,2021-02-27
,0,0,12,25,45,6,70153479,2021-02-27
,0,0,13,25,45,6,70153479,2021-02-27
,0,0,14,25,45,6,70153479,2021-02-27
,0,0,15,25,45,6,70153479,2021-02-27
,0,0,16,25,45,6,70153479,2021-02-27
,0,0,17,25,45,6,70153479,2021-02-27
,0,0,18,25,45,6,70153479,2021-02-27
,0,0,19,25,45,6,70153479,2021-02-27
,0,0,20,25,45,6,70153479,2021-02-27
,12,0,23,25,45,6,70153479,2021-02-27
,0,0,9,25,45,6,70144869,2021-02-27
,0,0,10,25,45,6,70144869,2021-02-27
,0,0,11,25,45,6,70144869,2021-02-27
,0,0,12,25,45,6,70144869,2021-02-27
,0,0,13,25,45,6,70144869,2021-02-27
,0,0,14,25,45,6,70144869,2021-02-27
,0,0,15,25,45,6,70144869,2021-02-27
,0,0,16,25,45,6,70144869,2021-02-27
,0,0,17,25,45,6,70144869,2021-02-27
,0,0,18,25,45,6,70144869,2021-02-27
